[2026-05-30T22:41:10Z] state=RUNNING|1:08|7:58:52|slinky-2 | ckpts=[] | <no step line yet>
[2026-05-31T01:33:04Z] state=RUNNING|2:53:01|5:06:59|slinky-2 | ckpts=[2000 4000 6000 ] | 01:32:11.534 [I] Step 7400: grad_norm=0.0282, loss=0.0021, param_norm=1806.8058                   (36600:train.py:268)
[2026-05-31T01:36:07Z] state=RUNNING|2:56:04|5:03:56|slinky-2 | ckpts=[2000 4000 6000 ] | 01:34:27.973 [I] Step 7500: grad_norm=0.0297, loss=0.0023, param_norm=1806.8112                   (36600:train.py:268)
[2026-05-31T01:39:10Z] state=RUNNING|2:59:07|5:00:53|slinky-2 | ckpts=[2000 4000 6000 ] | 01:38:38.363 [I] Step 7700: grad_norm=0.0283, loss=0.0021, param_norm=1806.8203                   (36600:train.py:268)
[2026-05-31T01:42:13Z] state=RUNNING|3:02:10|4:57:50|slinky-2 | ckpts=[2000 4000 6000 ] | 01:40:43.944 [I] Step 7800: grad_norm=0.0267, loss=0.0019, param_norm=1806.8250                   (36600:train.py:268)
[2026-05-31T01:45:16Z] state=RUNNING|3:05:13|4:54:47|slinky-2 | ckpts=[2000 4000 6000 8000 ] | 01:44:55.459 [I] Step 8000: grad_norm=0.0269, loss=0.0019, param_norm=1806.8317                   (36600:train.py:268)
[2026-05-31T01:48:19Z] state=RUNNING|3:08:16|4:51:44|slinky-2 | ckpts=[2000 4000 6000 8000 ] | 01:47:04.546 [I] Step 8100: grad_norm=0.0293, loss=0.0019, param_norm=1806.8350                   (36600:train.py:268)
[2026-05-31T01:51:22Z] state=RUNNING|3:11:19|4:48:41|slinky-2 | ckpts=[2000 4000 6000 8000 ] | 01:49:10.062 [I] Step 8200: grad_norm=0.0261, loss=0.0017, param_norm=1806.8384                   (36600:train.py:268)
[2026-05-31T01:54:25Z] state=RUNNING|3:14:22|4:45:38|slinky-2 | ckpts=[2000 4000 6000 8000 ] | 01:53:35.343 [I] Step 8400: grad_norm=0.0267, loss=0.0018, param_norm=1806.8440                   (36600:train.py:268)
[2026-05-31T01:57:28Z] state=RUNNING|3:17:25|4:42:35|slinky-2 | ckpts=[2000 4000 6000 8000 ] | 01:55:40.703 [I] Step 8500: grad_norm=0.0301, loss=0.0020, param_norm=1806.8462                   (36600:train.py:268)
[2026-05-31T02:00:31Z] state=RUNNING|3:20:28|4:39:32|slinky-2 | ckpts=[2000 4000 6000 8000 ] | 01:59:51.033 [I] Step 8700: grad_norm=0.0289, loss=0.0019, param_norm=1806.8502                   (36600:train.py:268)
[2026-05-31T02:03:34Z] state=RUNNING|3:23:32|4:36:28|slinky-2 | ckpts=[2000 4000 6000 8000 ] | 02:01:56.227 [I] Step 8800: grad_norm=0.0257, loss=0.0017, param_norm=1806.8522                   (36600:train.py:268)
[2026-05-31T02:06:37Z] state=RUNNING|3:26:35|4:33:25|slinky-2 | ckpts=[2000 4000 6000 8000 ] | 02:06:06.583 [I] Step 9000: grad_norm=0.0277, loss=0.0019, param_norm=1806.8552                   (36600:train.py:268)
[2026-05-31T02:09:41Z] state=RUNNING|3:29:38|4:30:22|slinky-2 | ckpts=[2000 4000 6000 8000 ] | 02:08:26.526 [I] Step 9100: grad_norm=0.0264, loss=0.0016, param_norm=1806.8568                   (36600:train.py:268)
[2026-05-31T02:12:45Z] state=RUNNING|3:32:42|4:27:18|slinky-2 | ckpts=[2000 4000 6000 8000 ] | 02:12:36.586 [I] Step 9300: grad_norm=0.0259, loss=0.0017, param_norm=1806.8596                   (36600:train.py:268)
[2026-05-31T02:15:48Z] state=RUNNING|3:35:45|4:24:15|slinky-2 | ckpts=[2000 4000 6000 8000 ] | 02:14:41.434 [I] Step 9400: grad_norm=0.0252, loss=0.0015, param_norm=1806.8612                   (36600:train.py:268)
[2026-05-31T02:18:51Z] state=RUNNING|3:38:49|4:21:11|slinky-2 | ckpts=[2000 4000 6000 8000 ] | 02:16:46.545 [I] Step 9500: grad_norm=0.0263, loss=0.0016, param_norm=1806.8627                   (36600:train.py:268)
[2026-05-31T02:21:54Z] state=RUNNING|3:41:52|4:18:08|slinky-2 | ckpts=[2000 4000 6000 8000 ] | 02:20:56.542 [I] Step 9700: grad_norm=0.0237, loss=0.0014, param_norm=1806.8650                   (36600:train.py:268)
[2026-05-31T02:24:58Z] state=RUNNING|3:44:55|4:15:05|slinky-2 | ckpts=[2000 4000 6000 8000 ] | 02:23:01.640 [I] Step 9800: grad_norm=0.0264, loss=0.0016, param_norm=1806.8662                   (36600:train.py:268)
[2026-05-31T02:28:01Z] state=<none> | ckpts=[2000 4000 6000 8000 9999 ] | Step 9900: grad_norm=0.0247, loss=0.0015, param_norm=1806.8672
[2026-05-31T02:28:01Z] JOB 188 TERMINAL (COMPLETED) — GPU released
